id,date,r_type,resource,value,key
18,20180212,S,exec_vnode,(r1i0n0:ncpus=36)+(r1i0n1:ncpus=36)+(r1i0n2:ncpus=36)+(r1i0n3:ncpus=36)+(r1i0n4:ncpus=36)+(r1i0n9:ncpus=36)+(r1i0n11:ncpus=36)+(r1i0n12:ncpus=36)+(r1i0n5:ncpus=36)+(r1i0n6:ncpus=36)+(r1i0n7:ncpus=36)+(r1i0n8:ncpus=36)+(r1i0n13:ncpus=36)+(r1i0n14:ncpus=36)+(r1i0n15:ncpus=36)+(r1i0n16:ncpus=36)+(r1i0n17:ncpus=36)+(r1i1n0:ncpus=36)+(r1i1n2:ncpus=36)+(r1i1n3:ncpus=36)+(r1i1n4:ncpus=36)+(r1i1n9:ncpus=36)+(r1i1n10:ncpus=36)+(r1i1n11:ncpus=36)+(r1i1n12:ncpus=36)+(r1i1n5:ncpus=36)+(r1i1n6:ncpus=36)+(r1i1n7:ncpus=36)+(r1i1n8:ncpus=36)+(r1i1n13:ncpus=36)+(r1i1n14:ncpus=36)+(r1i1n15:ncpus=36)+(r1i1n16:ncpus=36)+(r1i1n17:ncpus=36)+(r1i2n0:ncpus=36)+(r1i2n1:ncpus=36)+(r1i2n2:ncpus=36)+(r1i2n3:ncpus=36)+(r1i2n4:ncpus=36)+(r1i2n9:ncpus=36)+(r1i2n10:ncpus=36)+(r1i2n11:ncpus=36)+(r1i2n12:ncpus=36)+(r1i2n5:ncpus=36)+(r1i2n6:ncpus=36)+(r1i2n7:ncpus=36)+(r1i2n8:ncpus=36)+(r1i2n13:ncpus=36),
18,20180212,S,Resource_List.select,48,mpiprocs:2
18,20180212,S,Resource_List.select,48,ncpus:36
18,20180212,S,Resource_List.select,48,ompthreads:18
18,20180212,S,jobname,zhpt48.2,
18,20180212,S,project,_pbs_project_default,
18,20180212,S,start,1518449574,
18,20180212,S,Resource_List.walltime,01:00:00,
18,20180212,S,user,engel,
18,20180212,S,Resource_List.nodect,48,
18,20180212,S,etime,1518449520,
18,20180212,S,exec_host,r1i0n0/0*36+r1i0n1/0*36+r1i0n2/0*36+r1i0n3/0*36+r1i0n4/0*36+r1i0n9/0*36+r1i0n11/0*36+r1i0n12/0*36+r1i0n5/0*36+r1i0n6/0*36+r1i0n7/0*36+r1i0n8/0*36+r1i0n13/0*36+r1i0n14/0*36+r1i0n15/0*36+r1i0n16/0*36+r1i0n17/0*36+r1i1n0/0*36+r1i1n2/0*36+r1i1n3/0*36+r1i1n4/0*36+r1i1n9/0*36+r1i1n10/0*36+r1i1n11/0*36+r1i1n12/0*36+r1i1n5/0*36+r1i1n6/0*36+r1i1n7/0*36+r1i1n8/0*36+r1i1n13/0*36+r1i1n14/0*36+r1i1n15/0*36+r1i1n16/0*36+r1i1n17/0*36+r1i2n0/0*36+r1i2n1/0*36+r1i2n2/0*36+r1i2n3/0*36+r1i2n4/0*36+r1i2n9/0*36+r1i2n10/0*36+r1i2n11/0*36+r1i2n12/0*36+r1i2n5/0*36+r1i2n6/0*36+r1i2n7/0*36+r1i2n8/0*36+r1i2n13/0*36,
18,20180212,S,resource_assigned.mem,3148374144kb,
20,20180212,E,qtime,1518447436,
20,20180212,E,session,19902,
20,20180212,E,project,_pbs_project_default,
20,20180212,E,group,ncar,
20,20180212,E,Exit_status,0,
20,20180212,E,etime,1518449520,
20,20180212,E,resources_used.cput,977:54:54,
20,20180212,E,start,1518449574,
20,20180212,E,resources_used.cpupercent,173218,
20,20180212,E,exec_vnode,(r1i0n0:ncpus=36)+(r1i0n1:ncpus=36)+(r1i0n2:ncpus=36)+(r1i0n3:ncpus=36)+(r1i0n4:ncpus=36)+(r1i0n9:ncpus=36)+(r1i0n11:ncpus=36)+(r1i0n12:ncpus=36)+(r1i0n5:ncpus=36)+(r1i0n6:ncpus=36)+(r1i0n7:ncpus=36)+(r1i0n8:ncpus=36)+(r1i0n13:ncpus=36)+(r1i0n14:ncpus=36)+(r1i0n15:ncpus=36)+(r1i0n16:ncpus=36)+(r1i0n17:ncpus=36)+(r1i1n0:ncpus=36)+(r1i1n2:ncpus=36)+(r1i1n3:ncpus=36)+(r1i1n4:ncpus=36)+(r1i1n9:ncpus=36)+(r1i1n10:ncpus=36)+(r1i1n11:ncpus=36)+(r1i1n12:ncpus=36)+(r1i1n5:ncpus=36)+(r1i1n6:ncpus=36)+(r1i1n7:ncpus=36)+(r1i1n8:ncpus=36)+(r1i1n13:ncpus=36)+(r1i1n14:ncpus=36)+(r1i1n15:ncpus=36)+(r1i1n16:ncpus=36)+(r1i1n17:ncpus=36)+(r1i2n0:ncpus=36)+(r1i2n1:ncpus=36)+(r1i2n2:ncpus=36)+(r1i2n3:ncpus=36)+(r1i2n4:ncpus=36)+(r1i2n9:ncpus=36)+(r1i2n10:ncpus=36)+(r1i2n11:ncpus=36)+(r1i2n12:ncpus=36)+(r1i2n5:ncpus=36)+(r1i2n6:ncpus=36)+(r1i2n7:ncpus=36)+(r1i2n8:ncpus=36)+(r1i2n13:ncpus=36),
20,20180212,E,run_count,1,
20,20180212,E,Resource_List.ncpus,1728,
20,20180212,E,resources_used.mem,647553680kb,
20,20180212,E,Resource_List.place,scatter:exclhost,
20,20180212,E,Resource_List.mpiprocs,96,
20,20180212,E,Resource_List.walltime,01:00:00,
20,20180212,E,Resource_List.select,48,mpiprocs:2
20,20180212,E,Resource_List.select,48,ncpus:36
20,20180212,E,Resource_List.select,48,ompthreads:18
20,20180212,E,user,engel,
20,20180212,E,end,1518451740,
20,20180212,E,jobname,zhpt48.2,
20,20180212,E,resources_used.walltime,00:36:06,
20,20180212,E,resources_used.vmem,150448616kb,
20,20180212,E,account,"""SSSG0001""",
20,20180212,E,ctime,1518447436,
20,20180212,E,resources_used.ncpus,1728,
20,20180212,E,exec_host,r1i0n0/0*36+r1i0n1/0*36+r1i0n2/0*36+r1i0n3/0*36+r1i0n4/0*36+r1i0n9/0*36+r1i0n11/0*36+r1i0n12/0*36+r1i0n5/0*36+r1i0n6/0*36+r1i0n7/0*36+r1i0n8/0*36+r1i0n13/0*36+r1i0n14/0*36+r1i0n15/0*36+r1i0n16/0*36+r1i0n17/0*36+r1i1n0/0*36+r1i1n2/0*36+r1i1n3/0*36+r1i1n4/0*36+r1i1n9/0*36+r1i1n10/0*36+r1i1n11/0*36+r1i1n12/0*36+r1i1n5/0*36+r1i1n6/0*36+r1i1n7/0*36+r1i1n8/0*36+r1i1n13/0*36+r1i1n14/0*36+r1i1n15/0*36+r1i1n16/0*36+r1i1n17/0*36+r1i2n0/0*36+r1i2n1/0*36+r1i2n2/0*36+r1i2n3/0*36+r1i2n4/0*36+r1i2n9/0*36+r1i2n10/0*36+r1i2n11/0*36+r1i2n12/0*36+r1i2n5/0*36+r1i2n6/0*36+r1i2n7/0*36+r1i2n8/0*36+r1i2n13/0*36,
20,20180212,E,queue,economy,
20,20180212,E,Resource_List.nodect,48,
21,20180212,S,"","",
21,20180212,S,queue,economy,
21,20180212,S,account,"""SSSG0001""",
21,20180212,S,Resource_List.place,scatter:exclhost,
21,20180212,S,group,ncar,
21,20180212,S,ctime,1518447436,
21,20180212,S,resource_assigned.ncpus,2304,
21,20180212,S,Resource_List.ncpus,1152,
21,20180212,S,qtime,1518447436,
21,20180212,S,Resource_List.mpiprocs,64,
21,20180212,S,exec_vnode,(r1i0n0:ncpus=36)+(r1i0n1:ncpus=36)+(r1i0n2:ncpus=36)+(r1i0n3:ncpus=36)+(r1i0n4:ncpus=36)+(r1i0n9:ncpus=36)+(r1i0n11:ncpus=36)+(r1i0n12:ncpus=36)+(r1i0n5:ncpus=36)+(r1i0n6:ncpus=36)+(r1i0n7:ncpus=36)+(r1i0n8:ncpus=36)+(r1i0n13:ncpus=36)+(r1i0n14:ncpus=36)+(r1i0n15:ncpus=36)+(r1i0n16:ncpus=36)+(r1i0n17:ncpus=36)+(r1i1n0:ncpus=36)+(r1i1n2:ncpus=36)+(r1i1n3:ncpus=36)+(r1i1n4:ncpus=36)+(r1i1n9:ncpus=36)+(r1i1n10:ncpus=36)+(r1i1n11:ncpus=36)+(r1i1n12:ncpus=36)+(r1i1n5:ncpus=36)+(r1i1n6:ncpus=36)+(r1i1n7:ncpus=36)+(r1i1n8:ncpus=36)+(r1i1n13:ncpus=36)+(r1i1n14:ncpus=36)+(r1i1n15:ncpus=36),
21,20180212,S,Resource_List.select,32,mpiprocs:2
21,20180212,S,Resource_List.select,32,ncpus:36
21,20180212,S,Resource_List.select,32,ompthreads:18
21,20180212,S,jobname,zhpt32.2,
21,20180212,S,project,_pbs_project_default,
21,20180212,S,start,1518451740,
21,20180212,S,Resource_List.walltime,01:00:00,
21,20180212,S,user,engel,
21,20180212,S,Resource_List.nodect,32,
21,20180212,S,etime,1518451620,
21,20180212,S,exec_host,r1i0n0/0*36+r1i0n1/0*36+r1i0n2/0*36+r1i0n3/0*36+r1i0n4/0*36+r1i0n9/0*36+r1i0n11/0*36+r1i0n12/0*36+r1i0n5/0*36+r1i0n6/0*36+r1i0n7/0*36+r1i0n8/0*36+r1i0n13/0*36+r1i0n14/0*36+r1i0n15/0*36+r1i0n16/0*36+r1i0n17/0*36+r1i1n0/0*36+r1i1n2/0*36+r1i1n3/0*36+r1i1n4/0*36+r1i1n9/0*36+r1i1n10/0*36+r1i1n11/0*36+r1i1n12/0*36+r1i1n5/0*36+r1i1n6/0*36+r1i1n7/0*36+r1i1n8/0*36+r1i1n13/0*36+r1i1n14/0*36+r1i1n15/0*36,
21,20180212,S,resource_assigned.mem,2098916096kb,
22,20180212,S,"","",
22,20180212,S,queue,economy,
22,20180212,S,account,"""SSSG0001""",
22,20180212,S,Resource_List.place,scatter:exclhost,
22,20180212,S,group,ncar,
22,20180212,S,ctime,1518447436,
22,20180212,S,resource_assigned.ncpus,1152,
22,20180212,S,Resource_List.ncpus,576,
22,20180212,S,qtime,1518447436,
22,20180212,S,Resource_List.mpiprocs,32,
22,20180212,S,exec_vnode,(r1i1n16:ncpus=36)+(r1i1n17:ncpus=36)+(r1i2n0:ncpus=36)+(r1i2n1:ncpus=36)+(r1i2n2:ncpus=36)+(r1i2n3:ncpus=36)+(r1i2n4:ncpus=36)+(r1i2n9:ncpus=36)+(r1i2n10:ncpus=36)+(r1i2n11:ncpus=36)+(r1i2n12:ncpus=36)+(r1i2n5:ncpus=36)+(r1i2n6:ncpus=36)+(r1i2n7:ncpus=36)+(r1i2n8:ncpus=36)+(r1i2n13:ncpus=36),
22,20180212,S,Resource_List.select,16,mpiprocs:2
22,20180212,S,Resource_List.select,16,ncpus:36
22,20180212,S,Resource_List.select,16,ompthreads:18
22,20180212,S,jobname,zhpt16.2,
22,20180212,S,project,_pbs_project_default,
22,20180212,S,start,1518453720,
22,20180212,S,Resource_List.walltime,01:00:00,
22,20180212,S,user,engel,
22,20180212,S,Resource_List.nodect,16,
22,20180212,S,etime,1518453720,
22,20180212,S,exec_host,r1i1n16/0*36+r1i1n17/0*36+r1i2n0/0*36+r1i2n1/0*36+r1i2n2/0*36+r1i2n3/0*36+r1i2n4/0*36+r1i2n9/0*36+r1i2n10/0*36+r1i2n11/0*36+r1i2n12/0*36+r1i2n5/0*36+r1i2n6/0*36+r1i2n7/0*36+r1i2n8/0*36+r1i2n13/0*36,
22,20180212,S,resource_assigned.mem,1049458048kb,
23,20180212,E,qtime,1518447436,
23,20180212,E,session,23543,
23,20180212,E,project,_pbs_project_default,
23,20180212,E,group,ncar,
23,20180212,E,Exit_status,0,
23,20180212,E,etime,1518451620,
23,20180212,E,resources_used.cput,650:50:00,
23,20180212,E,start,1518451740,
23,20180212,E,resources_used.cpupercent,115161,
23,20180212,E,exec_vnode,(r1i0n0:ncpus=36)+(r1i0n1:ncpus=36)+(r1i0n2:ncpus=36)+(r1i0n3:ncpus=36)+(r1i0n4:ncpus=36)+(r1i0n9:ncpus=36)+(r1i0n11:ncpus=36)+(r1i0n12:ncpus=36)+(r1i0n5:ncpus=36)+(r1i0n6:ncpus=36)+(r1i0n7:ncpus=36)+(r1i0n8:ncpus=36)+(r1i0n13:ncpus=36)+(r1i0n14:ncpus=36)+(r1i0n15:ncpus=36)+(r1i0n16:ncpus=36)+(r1i0n17:ncpus=36)+(r1i1n0:ncpus=36)+(r1i1n2:ncpus=36)+(r1i1n3:ncpus=36)+(r1i1n4:ncpus=36)+(r1i1n9:ncpus=36)+(r1i1n10:ncpus=36)+(r1i1n11:ncpus=36)+(r1i1n12:ncpus=36)+(r1i1n5:ncpus=36)+(r1i1n6:ncpus=36)+(r1i1n7:ncpus=36)+(r1i1n8:ncpus=36)+(r1i1n13:ncpus=36)+(r1i1n14:ncpus=36)+(r1i1n15:ncpus=36),
23,20180212,E,run_count,1,
23,20180212,E,Resource_List.ncpus,1152,
23,20180212,E,resources_used.mem,431530296kb,
23,20180212,E,Resource_List.place,scatter:exclhost,
23,20180212,E,Resource_List.mpiprocs,64,
23,20180212,E,Resource_List.walltime,01:00:00,
23,20180212,E,Resource_List.select,32,mpiprocs:2
23,20180212,E,Resource_List.select,32,ncpus:36
23,20180212,E,Resource_List.select,32,ompthreads:18
23,20180212,E,user,engel,
23,20180212,E,end,1518453870,
23,20180212,E,jobname,zhpt32.2,
23,20180212,E,resources_used.walltime,00:35:30,
23,20180212,E,resources_used.vmem,150446228kb,
23,20180212,E,account,"""SSSG0001""",
23,20180212,E,ctime,1518447436,
23,20180212,E,resources_used.ncpus,1152,
23,20180212,E,exec_host,r1i0n0/0*36+r1i0n1/0*36+r1i0n2/0*36+r1i0n3/0*36+r1i0n4/0*36+r1i0n9/0*36+r1i0n11/0*36+r1i0n12/0*36+r1i0n5/0*36+r1i0n6/0*36+r1i0n7/0*36+r1i0n8/0*36+r1i0n13/0*36+r1i0n14/0*36+r1i0n15/0*36+r1i0n16/0*36+r1i0n17/0*36+r1i1n0/0*36+r1i1n2/0*36+r1i1n3/0*36+r1i1n4/0*36+r1i1n9/0*36+r1i1n10/0*36+r1i1n11/0*36+r1i1n12/0*36+r1i1n5/0*36+r1i1n6/0*36+r1i1n7/0*36+r1i1n8/0*36+r1i1n13/0*36+r1i1n14/0*36+r1i1n15/0*36,
23,20180212,E,queue,economy,
23,20180212,E,Resource_List.nodect,32,
25,20180212,S,"","",
25,20180212,S,queue,economy,
25,20180212,S,account,"""SSSG0001""",
25,20180212,S,Resource_List.place,scatter:exclhost,
25,20180212,S,group,ncar,
25,20180212,S,ctime,1518447436,
25,20180212,S,resource_assigned.ncpus,576,
25,20180212,S,Resource_List.ncpus,288,
25,20180212,S,qtime,1518447436,
25,20180212,S,Resource_List.mpiprocs,16,
25,20180212,S,exec_vnode,(r1i0n0:ncpus=36)+(r1i0n1:ncpus=36)+(r1i0n2:ncpus=36)+(r1i0n3:ncpus=36)+(r1i0n4:ncpus=36)+(r1i0n9:ncpus=36)+(r1i0n11:ncpus=36)+(r1i0n12:ncpus=36),
25,20180212,S,Resource_List.select,8,mpiprocs:2
25,20180212,S,Resource_List.select,8,ncpus:36
25,20180212,S,Resource_List.select,8,ompthreads:18
25,20180212,S,jobname,zhpt08.2,
25,20180212,S,project,_pbs_project_default,
25,20180212,S,start,1518455821,
25,20180212,S,Resource_List.walltime,01:00:00,
25,20180212,S,user,engel,
25,20180212,S,Resource_List.nodect,8,
25,20180212,S,etime,1518455820,
25,20180212,S,exec_host,r1i0n0/0*36+r1i0n1/0*36+r1i0n2/0*36+r1i0n3/0*36+r1i0n4/0*36+r1i0n9/0*36+r1i0n11/0*36+r1i0n12/0*36,
25,20180212,S,resource_assigned.mem,524729024kb,
26,20180212,E,qtime,1518447436,
26,20180212,E,session,33313,
26,20180212,E,project,_pbs_project_default,
26,20180212,E,group,ncar,
26,20180212,E,Exit_status,0,
26,20180212,E,etime,1518453720,
26,20180212,E,resources_used.cput,321:03:35,
26,20180212,E,start,1518453720,
26,20180212,E,resources_used.cpupercent,57659,
26,20180212,E,exec_vnode,(r1i1n16:ncpus=36)+(r1i1n17:ncpus=36)+(r1i2n0:ncpus=36)+(r1i2n1:ncpus=36)+(r1i2n2:ncpus=36)+(r1i2n3:ncpus=36)+(r1i2n4:ncpus=36)+(r1i2n9:ncpus=36)+(r1i2n10:ncpus=36)+(r1i2n11:ncpus=36)+(r1i2n12:ncpus=36)+(r1i2n5:ncpus=36)+(r1i2n6:ncpus=36)+(r1i2n7:ncpus=36)+(r1i2n8:ncpus=36)+(r1i2n13:ncpus=36),
26,20180212,E,run_count,1,
26,20180212,E,Resource_List.ncpus,576,
26,20180212,E,resources_used.mem,215634052kb,
26,20180212,E,Resource_List.place,scatter:exclhost,
26,20180212,E,Resource_List.mpiprocs,32,
26,20180212,E,Resource_List.walltime,01:00:00,
26,20180212,E,Resource_List.select,16,mpiprocs:2
26,20180212,E,Resource_List.select,16,ncpus:36
26,20180212,E,Resource_List.select,16,ompthreads:18
26,20180212,E,user,engel,
26,20180212,E,end,1518455827,
26,20180212,E,jobname,zhpt16.2,
26,20180212,E,resources_used.walltime,00:35:07,
26,20180212,E,resources_used.vmem,150443840kb,
26,20180212,E,account,"""SSSG0001""",
26,20180212,E,ctime,1518447436,
26,20180212,E,resources_used.ncpus,576,
26,20180212,E,exec_host,r1i1n16/0*36+r1i1n17/0*36+r1i2n0/0*36+r1i2n1/0*36+r1i2n2/0*36+r1i2n3/0*36+r1i2n4/0*36+r1i2n9/0*36+r1i2n10/0*36+r1i2n11/0*36+r1i2n12/0*36+r1i2n5/0*36+r1i2n6/0*36+r1i2n7/0*36+r1i2n8/0*36+r1i2n13/0*36,
26,20180212,E,queue,economy,
26,20180212,E,Resource_List.nodect,16,
27,20180212,S,"","",
27,20180212,S,queue,economy,
27,20180212,S,account,"""SSSG0001""",
27,20180212,S,Resource_List.place,scatter:exclhost,
27,20180212,S,group,ncar,
27,20180212,S,ctime,1518447436,
27,20180212,S,resource_assigned.ncpus,288,
27,20180212,S,Resource_List.ncpus,144,
27,20180212,S,qtime,1518447437,
27,20180212,S,Resource_List.mpiprocs,8,
